"id","category_slug","old_alt","new_title","new_alt","status"
"162","family","DSC06455","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 29092456 bytes > 10485760 bytes""},""request_id"":""req_011Cc25iGkcW7zJ5KCcFRHiz""}"
"163","family","DSC06541","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 25300624 bytes > 10485760 bytes""},""request_id"":""req_011Cc25iP57sw3ewD8LsHwFY""}"
"161","family","DSC06424","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 32314236 bytes > 10485760 bytes""},""request_id"":""req_011Cc25iAwN2bhnCqE4YUwMP""}"
"164","family","DSC06845","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 28508188 bytes > 10485760 bytes""},""request_id"":""req_011Cc25iWXLToAaZLCJKP5zr""}"
"167","family","DSC07252","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 31041304 bytes > 10485760 bytes""},""request_id"":""req_011Cc25ikumfuMRG9qmQKZvJ""}"
"165","family","DSC06949","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 32565944 bytes > 10485760 bytes""},""request_id"":""req_011Cc25igb5JtpnhkM6LnYT3""}"
"169","family","DSC08463","","","error:413 {""error"":{""type"":""request_too_large"",""message"":""Request exceeds the maximum size""}}"
"166","family","DSC07108","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 26464448 bytes > 10485760 bytes""},""request_id"":""req_011Cc25inTHvY9XFhqjAbZZY""}"
"170","family","DSC08511","","","error:413 {""error"":{""type"":""request_too_large"",""message"":""Request exceeds the maximum size""}}"
"171","family","DSC08635","","","error:413 {""error"":{""type"":""request_too_large"",""message"":""Request exceeds the maximum size""}}"
"173","family","DSC08925","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 27238264 bytes > 10485760 bytes""},""request_id"":""req_011Cc25jPTDd5niTsGK4ppsB""}"
"168","family","DSC08457","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 31738800 bytes > 10485760 bytes""},""request_id"":""req_011Cc25j6WF7xhFFxf7mnA4N""}"
"172","family","DSC08637","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 32199716 bytes > 10485760 bytes""},""request_id"":""req_011Cc25jPYB15Ud2D18hioxx""}"
